order_id,date,product,region,channel,quantity,unit_price,sales
1,2025-09-28,Headphones,Bangkok,Retail,5,706,3530
2,2024-08-28,Keyboard,Unknown,Online,6,721,4326
3,2025-02-10,Router,Bangkok,Distributor,2,604,1208
4,2024-11-10,SSD,Bangkok,Online,5,1176,5880
5,2025-09-18,SSD,Ayutthaya,Online,6,660,3960
6,2025-12-06,SSD,Phuket,Retail,1,1427,1427
7,2024-05-08,Headphones,Bangkok,Distributor,5,913,4565
8,2024-01-07,Dock,Khon Kaen,Online,6,1376,8256
9,2024-05-08,Monitor,Chonburi,Retail,2,1262,2524
10,2024-09-30,Monitor,Rayong,Distributor,1,1345,1345
11,2024-04-12,Laptop,Chonburi,Retail,2,203,406
12,2025-01-13,Tablet,Chonburi,Distributor,2,697,1394
13,2025-07-16,Webcam,Chonburi,Retail,1,1045,1045
14,2025-03-03,Keyboard,Chonburi,Distributor,3,510,1530
15,2024-05-18,Monitor,Bangkok,Online,2,72,144
16,2024-06-27,Tablet,Chonburi,Distributor,4,1466,5864
17,2024-02-20,Webcam,Chonburi,Online,6,1411,8466
18,2025-10-01,Router,Nakhon Ratchasima,Online,6,585,3510
19,2025-12-12,Dock,Ayutthaya,Distributor,1,1209,1209
20,2025-09-29,Laptop,Chonburi,Online,1,1419,1419
21,2025-08-16,Dock,Chonburi,Distributor,5,820,4100
22,2024-06-09,SSD,Chonburi,Online,4,689,-2756
23,2025-07-12,SSD,Khon Kaen,Distributor,6,343,2058
24,2024-10-17,Dock,Phuket,Online,7,1090,7630
25,2025-12-22,Tablet,Nakhon Ratchasima,Retail,6,173,1038
26,2025-01-02,Laptop,Phuket,Retail,6,30,180
27,2025-07-09,Webcam,Bangkok,Distributor,3,813,2439
28,2024-03-09,Tablet,Chiang Mai,Retail,6,1444,8664
29,2024-10-18,SSD,Ayutthaya,Online,2,684,1368
30,2025-05-05,Mouse,Chiang Mai,Online,8,387,3096
31,2025-02-17,Mouse,Chiang Mai,Retail,7,230,1610
32,2024-04-21,Tablet,Khon Kaen,Online,4,30,120
33,2024-05-22,Tablet,Rayong,Online,1,997,997
34,2025-12-31,Tablet,Phuket,Online,5,662,3310
35,2025-06-14,Router,Ayutthaya,Retail,2,850,1700
36,2025-12-15,SSD,Rayong,Distributor,3,1323,3969
37,2025-11-14,Webcam,Phuket,Distributor,4,1265,5060
38,2024-07-20,Monitor,Nakhon Ratchasima,Online,2,745,-1490
39,2024-05-01,Laptop,Khon Kaen,Online,5,226,1130
40,2024-05-16,Mouse,Chonburi,Retail,8,104,832
41,2024-10-26,Dock,Phuket,Distributor,5,1387,6935
